GISJOIN,AREANAME,PopTotal,White,NonWhite,WhiteNative,Black,MedHouseValue,MedGrossRent
G39006100091,STCTY-39061 TRACT-    0091     IN CINCINNATI OH,5274,5273,1,5144,1,2402,15.65
G39006100092,STCTY-39061 TRACT-    0092     IN CINCINNATI OH,1798,1793,5,1708,5,4262,30.9
G39006100093,STCTY-39061 TRACT-    0093     IN CINCINNATI OH,5113,5069,44,4833,44,4117,27.47
G39006100094,STCTY-39061 TRACT-    0094     IN CINCINNATI OH,3155,3155,0,3008,0,4942,29.88
G39006100095,STCTY-39061 TRACT-    0095     IN CINCINNATI OH,4118,4116,2,3917,2,4703,33.31
G39006100096,STCTY-39061 TRACT-    0096     IN CINCINNATI OH,6593,6550,43,6264,42,4334,31.11
G39006100097,STCTY-39061 TRACT-    0097     IN CINCINNATI OH,6712,6702,10,6304,8,5470,35.32
G39006100098,STCTY-39061 TRACT-    0098     IN CINCINNATI OH,2144,2131,13,2027,13,4141,31.77
G39006100099,STCTY-39061 TRACT-    0099     IN CINCINNATI OH,6188,6185,3,5893,3,7188,44.38
G39006100100,STCTY-39061 TRACT-    0100     IN CINCINNATI OH,3189,3187,2,3043,2,6784,40.99
G39006100101,STCTY-39061 TRACT-    0101     IN CINCINNATI OH,3075,3074,1,2923,1,7052,39.35
G39006100102,STCTY-39061 TRACT-    0102     IN CINCINNATI OH,4712,4712,0,4538,0,7097,44.86
G39006100103,STCTY-39061 TRACT-    0103     IN CINCINNATI OH,4234,4232,2,4108,2,3122,22.77
G39006100104,STCTY-39061 TRACT-    0104     IN CINCINNATI OH,1588,1588,0,1552,0,3061,19.94
G39006100105,STCTY-39061 TRACT-    0105     IN CINCINNATI OH,1518,1381,137,1362,137,3932,26.57
G39006100106,STCTY-39061 TRACT-    0106     IN CINCINNATI OH,1109,1103,6,1087,6,5392,0
G39006100107,STCTY-39061 TRACT-    0107     IN CINCINNATI OH,2354,2354,0,2267,0,7187,45.83
G3900610C0001,STCTY-39061 TRACT-  C 0001     IN CINCINNATI OH ADJ AREA,2215,2200,15,2171,15,3198,22.31
G3900610C0002,STCTY-39061 TRACT-  C 0002     IN CINCINNATI OH ADJ AREA,4477,4466,11,4359,11,5368,29.55
G3900610C0003,STCTY-39061 TRACT-  C 0003     IN CINCINNATI OH ADJ AREA,4627,4621,6,4472,6,4934,23.93
G3900610C0004A,STCTY-39061 TRACT-  C 0004-A   IN CINCINNATI OH ADJ AREA,992,937,55,885,55,0,0
G3900610C0004B,STCTY-39061 TRACT-  C 0004-B   IN CINCINNATI OH ADJ AREA,618,524,94,489,93,0,0
G3900610C0005,STCTY-39061 TRACT-  C 0005     IN CINCINNATI OH ADJ AREA,1730,1704,26,1670,26,6898,25.33
G3900610C0006A,STCTY-39061 TRACT-  C 0006-A   IN CINCINNATI OH ADJ AREA,1583,1573,10,1544,8,5652,49.13
G3900610C0006B,STCTY-39061 TRACT-  C 0006-B   IN CINCINNATI OH ADJ AREA,4063,4063,0,3860,0,4792,35.57
G3900610C0007A,STCTY-39061 TRACT-  C 0007-A   IN CINCINNATI OH ADJ AREA,2941,2668,273,2567,271,5141,32.6
G3900610C0007B,STCTY-39061 TRACT-  C 0007-B   IN CINCINNATI OH ADJ AREA,659,658,1,632,1,5404,0
G3900610C0008,STCTY-39061 TRACT-  C 0008     IN CINCINNATI OH ADJ AREA,577,561,16,539,16,4129,0
G3900610C0009,STCTY-39061 TRACT-  C 0009     IN CINCINNATI OH ADJ AREA,5059,5055,4,4894,4,4862,32.63
G3900610C0010,STCTY-39061 TRACT-  C 0010     IN CINCINNATI OH ADJ AREA,7337,7337,0,7038,0,5217,33.58
G3900610C0011,STCTY-39061 TRACT-  C 0011     IN CINCINNATI OH ADJ AREA,9183,9180,3,8852,3,5190,35.63
G3900610C0012,STCTY-39061 TRACT-  C 0012     IN CINCINNATI OH ADJ AREA,7201,7186,15,6852,15,3806,32.02
G3900610C0013,STCTY-39061 TRACT-  C 0013     IN CINCINNATI OH ADJ AREA,5230,5192,38,4987,38,5000,35.33
G3900610C0014A,STCTY-39061 TRACT-  C 0014-A   IN CINCINNATI OH ADJ AREA,2939,2939,0,2818,0,6811,45.3
G3900610C0014B,STCTY-39061 TRACT-  C 0014-B   IN CINCINNATI OH ADJ AREA,5539,5529,10,5316,10,5167,36.81
G3900610C0014C,STCTY-39061 TRACT-  C 0014-C   IN CINCINNATI OH ADJ AREA,636,636,0,605,0,4778,0
G3900610C0015,STCTY-39061 TRACT-  C 0015     IN CINCINNATI OH ADJ AREA,942,942,0,935,0,0,0
G3900610C0016,STCTY-39061 TRACT-  C 0016     IN CINCINNATI OH ADJ AREA,4175,4140,35,4017,35,5458,30.21
G3900610C0017,STCTY-39061 TRACT-  C 0017     IN CINCINNATI OH ADJ AREA,4882,4789,93,4561,93,5511,31.75
G3900610C0018,STCTY-39061 TRACT-  C 0018     IN CINCINNATI OH ADJ AREA,5413,5413,0,5117,0,5291,36.21
G3900610C0019,STCTY-39061 TRACT-  C 0019     IN CINCINNATI OH ADJ AREA,4950,4949,1,4701,0,5679,34.86
G3900610C0020,STCTY-39061 TRACT-  C 0020     IN CINCINNATI OH ADJ AREA,3218,3186,32,3086,32,6961,35.39
G3900610C0021,STCTY-39061 TRACT-  C 0021     IN CINCINNATI OH ADJ AREA,2435,2428,7,2409,7,3540,21.41
G3900610C0022,STCTY-39061 TRACT-  C 0022     IN CINCINNATI OH ADJ AREA,5757,5297,460,5251,460,2383,18.47
G3900610C0023,STCTY-39061 TRACT-  C 0023     IN CINCINNATI OH ADJ AREA,4248,4145,103,4037,103,3396,24.31
G3900610C0024,STCTY-39061 TRACT-  C 0024     IN CINCINNATI OH ADJ AREA,7387,7386,1,7078,1,4686,30.99
G3900610C0025A,STCTY-39061 TRACT-  C 0025-A   IN CINCINNATI OH ADJ AREA,3241,2655,586,2589,586,4966,29.37
G3900610C0025B,STCTY-39061 TRACT-  C 0025-B   IN CINCINNATI OH ADJ AREA,449,449,0,443,0,0,0
G3900610C0026,STCTY-39061 TRACT-  C 0026     IN CINCINNATI OH ADJ AREA,3675,3665,10,3578,10,4431,35.34
G3900610C0027,STCTY-39061 TRACT-  C 0027     IN CINCINNATI OH ADJ AREA,4626,4604,22,4467,22,4260,29.43
G3900610C0028,STCTY-39061 TRACT-  C 0028     IN CINCINNATI OH ADJ AREA,6579,5628,951,5278,951,4252,31.15
G3900610C0029,STCTY-39061 TRACT-  C 0029     IN CINCINNATI OH ADJ AREA,7969,6734,1235,6348,1234,6819,36.03
G3900610C0030A,STCTY-39061 TRACT-  C 0030-A   IN CINCINNATI OH ADJ AREA,2672,560,2112,543,2112,1351,15.82
G3900610C0030B,STCTY-39061 TRACT-  C 0030-B   IN CINCINNATI OH ADJ AREA,789,76,713,73,713,0,9.45
G3900610C0030C,STCTY-39061 TRACT-  C 0030-C   IN CINCINNATI OH ADJ AREA,5601,4504,1097,4425,1097,4349,23.74
G3900610C0031A,STCTY-39061 TRACT-  C 0031-A   IN CINCINNATI OH ADJ AREA,528,528,0,515,0,0,0
G3900610C0031B,STCTY-39061 TRACT-  C 0031-B   IN CINCINNATI OH ADJ AREA,7212,7212,0,7024,0,4177,27.42
G3900610C0032,STCTY-39061 TRACT-  C 0032     IN CINCINNATI OH ADJ AREA,3499,3225,274,3160,274,3313,25.48
G3900610C0033,STCTY-39061 TRACT-  C 0033     IN CINCINNATI OH ADJ AREA,4489,4341,148,4249,148,3608,25.83
G3900610C0034,STCTY-39061 TRACT-  C 0034     IN CINCINNATI OH ADJ AREA,2071,1883,188,1829,188,3204,20.41
G3900610C0035,STCTY-39061 TRACT-  C 0035     IN CINCINNATI OH ADJ AREA,1964,1951,13,1934,13,2784,19.21
G3900850LC0001,STCTY-39085 TRACT- LC 0001     IN CLEVELAND OH ADJ AREA,915,915,0,838,0,4479,0
G3900850LC0002,STCTY-39085 TRACT- LC 0002     IN CLEVELAND OH ADJ AREA,3155,3100,55,2595,54,3705,28.16
G3900850LC0003,STCTY-39085 TRACT- LC 0003     IN CLEVELAND OH ADJ AREA,77,77,0,67,0,0,0
G3900850LC0004,STCTY-39085 TRACT- LC 0004     IN CLEVELAND OH ADJ AREA,6182,6168,14,5564,11,3212,31.31
G3900850LC0005,STCTY-39085 TRACT- LC 0005     IN CLEVELAND OH ADJ AREA,4364,4317,47,3898,47,4931,37.14
