GISJOIN,AREANAME,PopTotal,White,NonWhite,WhiteNative,Black,MedHouseValue,MedGrossRent
G01007300001,STCTY-01073 TRACT-    0001     IN BIRMINGHAM AL,2792,2783,9,2771,9,2435,24.32
G01007300002,STCTY-01073 TRACT-    0002     IN BIRMINGHAM AL,1796,1767,29,1743,29,2444,22.65
G01007300003,STCTY-01073 TRACT-    0003     IN BIRMINGHAM AL,3935,3776,159,3754,159,2685,22.65
G01007300004,STCTY-01073 TRACT-    0004     IN BIRMINGHAM AL,4882,4144,738,4120,738,2284,19.66
G01007300005,STCTY-01073 TRACT-    0005     IN BIRMINGHAM AL,5960,4324,1636,4281,1636,1842,16.5
G01007300006,STCTY-01073 TRACT-    0006     IN BIRMINGHAM AL,3984,749,3235,735,3235,1402,12.09
G01007300007,STCTY-01073 TRACT-    0007     IN BIRMINGHAM AL,4937,92,4845,85,4845,1112,10.22
G01007300008,STCTY-01073 TRACT-    0008     IN BIRMINGHAM AL,7604,6279,1325,6180,1324,2390,18.24
G01007300009,STCTY-01073 TRACT-    0009     IN BIRMINGHAM AL,7296,1020,6276,948,6276,1750,11.93
G01007300010,STCTY-01073 TRACT-    0010     IN BIRMINGHAM AL,2403,1156,1247,1145,1247,1567,14.23
G01007300011,STCTY-01073 TRACT-    0011     IN BIRMINGHAM AL,5222,2402,2820,2299,2820,1290,11.98
G01007300012,STCTY-01073 TRACT-    0012     IN BIRMINGHAM AL,6597,3495,3102,3390,3102,1667,14.29
G01007300013,STCTY-01073 TRACT-    0013     IN BIRMINGHAM AL,2476,431,2045,423,2045,1939,13.44
G01007300014,STCTY-01073 TRACT-    0014     IN BIRMINGHAM AL,3747,125,3622,118,3622,1761,12.58
G01007300015,STCTY-01073 TRACT-    0015     IN BIRMINGHAM AL,8145,6779,1366,6468,1366,3015,23.69
G01007300016,STCTY-01073 TRACT-    0016     IN BIRMINGHAM AL,9138,8423,715,8177,715,4667,32.32
G01007300017,STCTY-01073 TRACT-    0017     IN BIRMINGHAM AL,2764,1858,906,1842,906,0,14.08
G01007300018,STCTY-01073 TRACT-    0018     IN BIRMINGHAM AL,6401,3585,2816,3545,2816,1801,14.83
G01007300019,STCTY-01073 TRACT-    0019     IN BIRMINGHAM AL,3274,2619,655,2566,655,2545,20.33
G01007300020,STCTY-01073 TRACT-    0020     IN BIRMINGHAM AL,2329,2155,174,2142,174,3000,28.32
G01007300021,STCTY-01073 TRACT-    0021     IN BIRMINGHAM AL,3982,3933,49,3907,48,2827,28.22
G01007300022,STCTY-01073 TRACT-    0022     IN BIRMINGHAM AL,2813,2378,435,2358,435,2591,22.68
G01007300023,STCTY-01073 TRACT-    0023     IN BIRMINGHAM AL,4756,3964,792,3933,792,3839,22.57
G01007300024,STCTY-01073 TRACT-    0024     IN BIRMINGHAM AL,5777,1809,3968,1775,3968,1648,12.69
G01007300025,STCTY-01073 TRACT-    0025     IN BIRMINGHAM AL,2631,1395,1236,1380,1236,0,10
G01007300026,STCTY-01073 TRACT-    0026     IN BIRMINGHAM AL,5426,849,4577,794,4577,0,10.53
G01007300027,STCTY-01073 TRACT-    0027     IN BIRMINGHAM AL,4044,3333,711,3205,701,0,17.63
G01007300028,STCTY-01073 TRACT-    0028     IN BIRMINGHAM AL,10896,1231,9665,1103,9661,0,12.42
G01007300029,STCTY-01073 TRACT-    0029     IN BIRMINGHAM AL,7594,191,7403,167,7403,2208,13.82
G01007300030,STCTY-01073 TRACT-    0030     IN BIRMINGHAM AL,6296,6131,165,6036,165,4358,29.77
G01007300031,STCTY-01073 TRACT-    0031     IN BIRMINGHAM AL,5248,5214,34,5140,34,3237,27.66
G01007300032,STCTY-01073 TRACT-    0032     IN BIRMINGHAM AL,7410,1471,5939,1398,5939,1758,14.16
G01007300033,STCTY-01073 TRACT-    0033     IN BIRMINGHAM AL,6254,2445,3809,2089,3809,1503,15.55
G01007300034,STCTY-01073 TRACT-    0034     IN BIRMINGHAM AL,6097,5618,479,5429,479,2935,21.36
G01007300035,STCTY-01073 TRACT-    0035     IN BIRMINGHAM AL,4084,3754,330,3526,330,1660,18
G01007300036,STCTY-01073 TRACT-    0036     IN BIRMINGHAM AL,2741,2334,407,2302,407,4110,29.12
G01007300037,STCTY-01073 TRACT-    0037     IN BIRMINGHAM AL,4041,4032,9,3975,9,3691,33.96
G01007300038,STCTY-01073 TRACT-    0038     IN BIRMINGHAM AL,6377,5302,1075,5255,1075,2650,23.95
G01007300039,STCTY-01073 TRACT-    0039     IN BIRMINGHAM AL,1764,614,1150,611,1150,1529,13.89
G01007300040,STCTY-01073 TRACT-    0040     IN BIRMINGHAM AL,9643,9387,256,9239,256,2993,27.72
G01007300041,STCTY-01073 TRACT-    0041     IN BIRMINGHAM AL,3592,1359,2233,1310,2233,2850,13.54
G01007300042,STCTY-01073 TRACT-    0042     IN BIRMINGHAM AL,4908,234,4674,224,4673,1460,12.57
G01007300043,STCTY-01073 TRACT-    0043     IN BIRMINGHAM AL,4939,555,4384,475,4384,0,11.46
G01007300044,STCTY-01073 TRACT-    0044     IN BIRMINGHAM AL,5904,1431,4473,1377,4467,0,12.23
G01007300045,STCTY-01073 TRACT-    0045     IN BIRMINGHAM AL,5598,401,5197,363,5197,0,11.55
G01007300046,STCTY-01073 TRACT-    0046     IN BIRMINGHAM AL,3017,174,2843,155,2843,0,11.7
G01007300047,STCTY-01073 TRACT-    0047     IN BIRMINGHAM AL,11626,10508,1118,10157,1118,6302,40.14
G01007300048,STCTY-01073 TRACT-    0048     IN BIRMINGHAM AL,5094,4707,387,4523,387,8306,41.06
G01007300049,STCTY-01073 TRACT-    0049     IN BIRMINGHAM AL,9804,9118,686,8788,686,3821,31.43
G01007300050,STCTY-01073 TRACT-    0050     IN BIRMINGHAM AL,4458,4245,213,3963,213,3969,27.14
G01007300051,STCTY-01073 TRACT-    0051     IN BIRMINGHAM AL,2477,343,2134,331,2134,1590,13.74
G01007300052,STCTY-01073 TRACT-    0052     IN BIRMINGHAM AL,2610,2200,410,2177,410,2385,24.63
G06000100001,STCTY-06001 TRACT-    0001     IN OAKLAND CA,527,488,39,432,2,0,0
G06000100001A,STCTY-06001 TRACT-    0001-A   IN BERKELEY CA,2582,2545,37,1989,12,2771,23.72
G06000100001B,STCTY-06001 TRACT-    0001-B   IN BERKELEY CA,3545,3427,118,2634,32,2296,23.72
G06000100002,STCTY-06001 TRACT-    0002     IN OAKLAND CA,3873,3852,21,3479,3,6437,41.55
G06000100002A,STCTY-06001 TRACT-    0002-A   IN BERKELEY CA,1941,1300,641,996,604,3209,30.09
G06000100002B,STCTY-06001 TRACT-    0002-B   IN BERKELEY CA,3563,2118,1445,1777,1179,3074,27.87
G06000100002C,STCTY-06001 TRACT-    0002-C   IN BERKELEY CA,2920,1699,1221,1412,724,3171,29.32
G06000100002D,STCTY-06001 TRACT-    0002-D   IN BERKELEY CA,2665,1970,695,1491,635,3381,29.43
G06000100003,STCTY-06001 TRACT-    0003     IN OAKLAND CA,4766,4756,10,3964,9,4498,35.24
G06000100003A,STCTY-06001 TRACT-    0003-A   IN BERKELEY CA,4829,4704,125,4001,7,3856,29.25
G06000100003B,STCTY-06001 TRACT-    0003-B   IN BERKELEY CA,3304,3267,37,2828,4,4857,36.19
G06000100003C,STCTY-06001 TRACT-    0003-C   IN BERKELEY CA,4407,4361,46,3904,10,5750,39.71
G06000100003D,STCTY-06001 TRACT-    0003-D   IN BERKELEY CA,4601,4515,86,4154,20,8168,47.82
G06000100003E,STCTY-06001 TRACT-    0003-E   IN BERKELEY CA,2013,1960,53,1767,22,13717,71.44
G06000100004,STCTY-06001 TRACT-    0004     IN OAKLAND CA,4829,4777,52,4120,36,4537,35.65
G06000100004A,STCTY-06001 TRACT-    0004-A   IN BERKELEY CA,3028,3011,17,2425,1,3665,31.61
G06000100004B,STCTY-06001 TRACT-    0004-B   IN BERKELEY CA,4266,4162,104,3591,8,3596,32.78
G06000100004C,STCTY-06001 TRACT-    0004-C   IN BERKELEY CA,5443,5351,92,4672,6,4130,35.87
G06000100004D,STCTY-06001 TRACT-    0004-D   IN BERKELEY CA,2598,2581,17,2153,9,3923,35.37
G06000100004E,STCTY-06001 TRACT-    0004-E   IN BERKELEY CA,3297,3208,89,2649,68,3647,31.43
G06000100005,STCTY-06001 TRACT-    0005     IN OAKLAND CA,5666,5592,74,4705,36,3956,33.48
G06000100005A,STCTY-06001 TRACT-    0005-A   IN BERKELEY CA,1887,1786,101,1565,0,0,24.89
G06000100005B,STCTY-06001 TRACT-    0005-B   IN BERKELEY CA,6535,6412,123,5695,12,6625,40.44
G06000100005C,STCTY-06001 TRACT-    0005-C   IN BERKELEY CA,2409,2393,16,2194,8,8267,48.58
G06000100005D,STCTY-06001 TRACT-    0005-D   IN BERKELEY CA,2666,2651,15,2328,2,4981,37.88
G06000100005E,STCTY-06001 TRACT-    0005-E   IN BERKELEY CA,2836,2704,132,2376,7,3892,33.34
G06000100006,STCTY-06001 TRACT-    0006     IN OAKLAND CA,4784,4677,107,4016,81,3647,31.87
G06000100006A,STCTY-06001 TRACT-    0006-A   IN BERKELEY CA,1966,1957,9,1783,0,7474,60.21
G06000100006B,STCTY-06001 TRACT-    0006-B   IN BERKELEY CA,2061,2051,10,1837,4,7136,54.16
G06000100006C,STCTY-06001 TRACT-    0006-C   IN BERKELEY CA,1491,1478,13,1370,7,8674,0
G06000100006D,STCTY-06001 TRACT-    0006-D   IN BERKELEY CA,3885,3855,30,3559,10,9199,68.88
G06000100006E,STCTY-06001 TRACT-    0006-E   IN BERKELEY CA,4809,4801,8,4360,4,6095,52.59
G06000100007,STCTY-06001 TRACT-    0007     IN OAKLAND CA,5271,5072,199,4138,166,2989,27.38
G06000100008,STCTY-06001 TRACT-    0008     IN OAKLAND CA,5882,5691,191,4430,173,3376,28.88
G06000100009,STCTY-06001 TRACT-    0009     IN OAKLAND CA,4239,4211,28,3529,7,4136,33.58
G06000100010,STCTY-06001 TRACT-    0010     IN OAKLAND CA,5000,4592,408,3852,304,3309,29.42
G06000100011,STCTY-06001 TRACT-    0011     IN OAKLAND CA,5880,4742,1138,4077,1011,3194,26.89
G06000100012,STCTY-06001 TRACT-    0012     IN OAKLAND CA,4478,4263,215,3706,96,3455,24.93
G06000100013,STCTY-06001 TRACT-    0013     IN OAKLAND CA,3282,3150,132,2742,38,2731,22.82
G06000100014,STCTY-06001 TRACT-    0014     IN OAKLAND CA,5458,4560,898,3772,627,2911,25.14
G06000100015,STCTY-06001 TRACT-    0015     IN OAKLAND CA,4377,3009,1368,2151,1266,2255,21.11
G06000100016,STCTY-06001 TRACT-    0016     IN OAKLAND CA,4658,2818,1840,2039,1670,3036,22.37
G06000100017,STCTY-06001 TRACT-    0017     IN OAKLAND CA,5966,5299,667,4419,514,2417,21.99
G06000100018,STCTY-06001 TRACT-    0018     IN OAKLAND CA,6756,6408,348,5348,119,2879,15.84
G06000100019,STCTY-06001 TRACT-    0019     IN OAKLAND CA,3120,3002,118,2584,57,0,17.34
G06000100020,STCTY-06001 TRACT-    0020     IN OAKLAND CA,2246,2097,149,1592,58,0,16.81
G06000100021,STCTY-06001 TRACT-    0021     IN OAKLAND CA,5640,4329,1311,3065,1147,1832,17.85
G06000100022,STCTY-06001 TRACT-    0022     IN OAKLAND CA,1582,1115,467,853,65,0,15.9
G06000100023,STCTY-06001 TRACT-    0023     IN OAKLAND CA,1604,869,735,677,37,0,15.83
G06000100024,STCTY-06001 TRACT-    0024     IN OAKLAND CA,3652,1990,1662,1721,14,0,23.4
G06000100025,STCTY-06001 TRACT-    0025     IN OAKLAND CA,4038,3928,110,3368,16,2972,21.24
G06000100026,STCTY-06001 TRACT-    0026     IN OAKLAND CA,4633,4588,45,3941,1,3109,26.77
G06000100027,STCTY-06001 TRACT-    0027     IN OAKLAND CA,3660,3639,21,3155,2,4328,30.31
G06000100028,STCTY-06001 TRACT-    0028     IN OAKLAND CA,2818,2783,35,2516,6,0,35.37
G06000100029,STCTY-06001 TRACT-    0029     IN OAKLAND CA,2166,2145,21,1878,2,0,24.41
G06000100030,STCTY-06001 TRACT-    0030     IN OAKLAND CA,4360,4224,136,3699,13,4257,32.82
G06000100031,STCTY-06001 TRACT-    0031     IN OAKLAND CA,4429,4357,72,3879,5,7975,46.13
G06000100032,STCTY-06001 TRACT-    0032     IN OAKLAND CA,4070,4056,14,3653,1,6314,45.75
G06000100033,STCTY-06001 TRACT-    0033     IN OAKLAND CA,5262,5227,35,4555,14,4116,35.79
G06000100034,STCTY-06001 TRACT-    0034     IN OAKLAND CA,4544,4531,13,3965,1,6368,46.73
G06000100035,STCTY-06001 TRACT-    0035     IN OAKLAND CA,4936,4855,81,4445,30,9388,69.1
G06000100036,STCTY-06001 TRACT-    0036     IN OAKLAND CA,3663,3635,28,3236,6,7381,45.99
G06000100037,STCTY-06001 TRACT-    0037     IN OAKLAND CA,4215,4176,39,3580,4,5469,36.89
G06000100038,STCTY-06001 TRACT-    0038     IN OAKLAND CA,4438,4417,21,3796,3,4255,35.46
G06000100039,STCTY-06001 TRACT-    0039     IN OAKLAND CA,4655,4591,64,4196,19,8432,60.3
G06000100040,STCTY-06001 TRACT-    0040     IN OAKLAND CA,2264,2256,8,2054,1,4981,36.23
G06000100041,STCTY-06001 TRACT-    0041     IN OAKLAND CA,1466,1455,11,1350,7,7358,0
G06000100042,STCTY-06001 TRACT-    0042     IN OAKLAND CA,1717,1704,13,1523,6,8199,0
G06000100043,STCTY-06001 TRACT-    0043     IN OAKLAND CA,4771,4769,2,4051,1,4258,31.77
G06000100044,STCTY-06001 TRACT-    0044     IN OAKLAND CA,3738,3735,3,3277,1,4264,34.57
G06000100045,STCTY-06001 TRACT-    0045     IN OAKLAND CA,5797,5796,1,5050,1,5139,40.73
G06000100046,STCTY-06001 TRACT-    0046     IN OAKLAND CA,6441,6327,114,5358,87,3735,31.52
G06000100047,STCTY-06001 TRACT-    0047     IN OAKLAND CA,5066,5008,58,4039,23,4086,32.56
G06000100048,STCTY-06001 TRACT-    0048     IN OAKLAND CA,5319,5315,4,4602,0,3922,35.19
G06000100049,STCTY-06001 TRACT-    0049     IN OAKLAND CA,4437,4420,17,3809,9,3399,31.64
G06000100050,STCTY-06001 TRACT-    0050     IN OAKLAND CA,5465,5455,10,4677,5,3739,32.27
G06000100051,STCTY-06001 TRACT-    0051     IN OAKLAND CA,3622,3613,9,3067,2,3593,32.59
G06000100052,STCTY-06001 TRACT-    0052     IN OAKLAND CA,5049,4920,129,4001,91,2969,24.98
G06000100053,STCTY-06001 TRACT-    0053     IN OAKLAND CA,4735,4697,38,4003,14,3839,29.25
G06000100054,STCTY-06001 TRACT-    0054     IN OAKLAND CA,4615,4606,9,3855,8,3649,30.06
G06000100055,STCTY-06001 TRACT-    0055     IN OAKLAND CA,5449,5368,81,4216,44,2293,21.74
G06000100056,STCTY-06001 TRACT-    0056     IN OAKLAND CA,2241,2186,55,1748,21,2778,22.83
G06000100057,STCTY-06001 TRACT-    0057     IN OAKLAND CA,5067,4995,72,4318,45,3743,32.91
G06000100058,STCTY-06001 TRACT-    0058     IN OAKLAND CA,4547,4544,3,3934,3,4038,35.04
G06000100059,STCTY-06001 TRACT-    0059     IN OAKLAND CA,5293,5291,2,4748,1,5108,43.36
G06000100060,STCTY-06001 TRACT-    0060     IN OAKLAND CA,3419,3387,32,2964,16,4252,30.58
G06000100061,STCTY-06001 TRACT-    0061     IN OAKLAND CA,638,635,3,572,2,5750,0
G06000100062,STCTY-06001 TRACT-    0062     IN OAKLAND CA,5459,5448,11,4883,2,3682,31.59
G06000100063,STCTY-06001 TRACT-    0063     IN OAKLAND CA,5967,5928,39,5216,3,3657,33.4
G06000100064,STCTY-06001 TRACT-    0064     IN OAKLAND CA,4486,4440,46,3861,30,3616,32.85
G06000100065,STCTY-06001 TRACT-    0065     IN OAKLAND CA,5357,5305,52,4545,38,4085,34.33
G06000100066,STCTY-06001 TRACT-    0066     IN OAKLAND CA,4136,3987,149,3401,119,2504,25.93
G06000100067,STCTY-06001 TRACT-    0067     IN OAKLAND CA,686,653,33,486,0,2141,0
G06000100068,STCTY-06001 TRACT-    0068     IN OAKLAND CA,5383,5188,195,4229,165,2462,25.92
G06000100069,STCTY-06001 TRACT-    0069     IN OAKLAND CA,6277,6211,66,5352,45,3343,28.14
G06000100070,STCTY-06001 TRACT-    0070     IN OAKLAND CA,5127,5087,40,4404,11,3798,28.93
G06000100071,STCTY-06001 TRACT-    0071     IN OAKLAND CA,2072,2069,3,1838,0,4239,34.86
G06000100072,STCTY-06001 TRACT-    0072     IN OAKLAND CA,634,627,7,571,2,5735,0
G0600010AC0001,STCTY-06001 TRACT- AC 0001     IN OAKLAND-BERKELEY CA ADJ AREA,3503,3500,3,3101,3,4744,44.14
G0600010AC0002,STCTY-06001 TRACT- AC 0002     IN OAKLAND-BERKELEY CA ADJ AREA,2591,2587,4,2334,0,5006,45.62
G0600010AC0003,STCTY-06001 TRACT- AC 0003     IN OAKLAND-BERKELEY CA ADJ AREA,2054,2054,0,1752,0,4111,35.74
G0600010AC0004,STCTY-06001 TRACT- AC 0004     IN OAKLAND-BERKELEY CA ADJ AREA,1991,1980,11,1682,0,3692,34.22
G0600010AC0005,STCTY-06001 TRACT- AC 0005     IN OAKLAND-BERKELEY CA ADJ AREA,1354,1348,6,1141,1,3526,33.17
G0600010AC0006,STCTY-06001 TRACT- AC 0006     IN OAKLAND-BERKELEY CA ADJ AREA,2521,2448,73,2122,27,2494,26.38
G0600010AC0007,STCTY-06001 TRACT- AC 0007     IN OAKLAND-BERKELEY CA ADJ AREA,4967,4813,154,4443,49,13373,74.76
G0600010AC0008,STCTY-06001 TRACT- AC 0008     IN OAKLAND-BERKELEY CA ADJ AREA,4899,4863,36,4387,9,7172,60.89
G0600010AC0009,STCTY-06001 TRACT- AC 0009     IN OAKLAND-BERKELEY CA ADJ AREA,3396,3264,132,2921,8,6331,38.98
G0600010AC0010,STCTY-06001 TRACT- AC 0010     IN OAKLAND-BERKELEY CA ADJ AREA,6746,6034,712,5032,189,3234,27.4
G0600010AC0011,STCTY-06001 TRACT- AC 0011     IN OAKLAND-BERKELEY CA ADJ AREA,3598,3582,16,2969,1,3653,32.87
G0600010AC0012,STCTY-06001 TRACT- AC 0012     IN OAKLAND-BERKELEY CA ADJ AREA,4476,4458,18,3794,3,4280,32
G0600010AC0013,STCTY-06001 TRACT- AC 0013     IN OAKLAND-BERKELEY CA ADJ AREA,4421,4376,45,3868,20,5235,36.23
G0600010AC0014,STCTY-06001 TRACT- AC 0014     IN OAKLAND-BERKELEY CA ADJ AREA,4850,4716,134,4034,11,3885,30.93
G0600010AC0015,STCTY-06001 TRACT- AC 0015     IN OAKLAND-BERKELEY CA ADJ AREA,3878,3856,22,3318,13,4766,37.52
G0600010AC0016,STCTY-06001 TRACT- AC 0016     IN OAKLAND-BERKELEY CA ADJ AREA,4891,4839,52,4158,4,4148,32.98
G0600010AC0017,STCTY-06001 TRACT- AC 0017     IN OAKLAND-BERKELEY CA ADJ AREA,4027,4008,19,3349,0,4972,30.2
G0600010AC0018,STCTY-06001 TRACT- AC 0018     IN OAKLAND-BERKELEY CA ADJ AREA,6248,6238,10,5582,4,5473,39.88
G0600010AC0019,STCTY-06001 TRACT- AC 0019     IN OAKLAND-BERKELEY CA ADJ AREA,4326,4256,70,3276,1,3650,24.14
G0600130CCC0001,STCTY-06013 TRACT-CCC 0001     IN OAKLAND-BERKELEY CA ADJ AREA,2378,2378,0,2140,0,3921,40.85
G0600130CCC0002,STCTY-06013 TRACT-CCC 0002     IN OAKLAND-BERKELEY CA ADJ AREA,1580,1580,0,1431,0,3742,28.83
G0600130CCC0003,STCTY-06013 TRACT-CCC 0003     IN OAKLAND-BERKELEY CA ADJ AREA,3065,2805,260,2209,225,1868,17.97
G0600130CCC0004,STCTY-06013 TRACT-CCC 0004     IN OAKLAND-BERKELEY CA ADJ AREA,4298,4286,12,3638,2,2754,27.8
G0600130CCC0005,STCTY-06013 TRACT-CCC 0005     IN OAKLAND-BERKELEY CA ADJ AREA,3729,3715,14,3243,2,3674,29.9
G0600130CCC0006,STCTY-06013 TRACT-CCC 0006     IN OAKLAND-BERKELEY CA ADJ AREA,2683,2640,43,2180,5,3026,24.46
G0600130CCC0007,STCTY-06013 TRACT-CCC 0007     IN OAKLAND-BERKELEY CA ADJ AREA,4057,4013,44,3409,3,2651,25.11
G0600130CCC0008,STCTY-06013 TRACT-CCC 0008     IN OAKLAND-BERKELEY CA ADJ AREA,1852,1817,35,1516,33,2074,22.7
G0600130CCC0009,STCTY-06013 TRACT-CCC 0009     IN OAKLAND-BERKELEY CA ADJ AREA,1118,1032,86,935,2,5627,0
G0600130CCC0010,STCTY-06013 TRACT-CCC 0010     IN OAKLAND-BERKELEY CA ADJ AREA,1358,1336,22,1050,0,2260,22.83
G0600130CCC0011,STCTY-06013 TRACT-CCC 0011     IN OAKLAND-BERKELEY CA ADJ AREA,2112,2109,3,1831,0,3132,30.08
G0600130CCC0012,STCTY-06013 TRACT-CCC 0012     IN OAKLAND-BERKELEY CA ADJ AREA,1549,1549,0,1374,0,4420,0
G0600130CCC0013,STCTY-06013 TRACT-CCC 0013     IN OAKLAND-BERKELEY CA ADJ AREA,562,560,2,499,2,1850,0
G06003700001,STCTY-06037 TRACT-    0001     IN LOS ANGELES CA,4304,4069,235,3492,70,2176,21.21
G06003700002,STCTY-06037 TRACT-    0002     IN LOS ANGELES CA,2091,2064,27,1814,13,3325,17.38
G06003700003,STCTY-06037 TRACT-    0003     IN LOS ANGELES CA,1240,1196,44,1070,0,3058,0
G06003700004,STCTY-06037 TRACT-    0004     IN LOS ANGELES CA,7248,6919,329,5882,34,1862,19.14
G06003700005,STCTY-06037 TRACT-    0005     IN LOS ANGELES CA,1536,1525,11,1403,0,2654,25.4
G06003700006,STCTY-06037 TRACT-    0006     IN LOS ANGELES CA,864,789,75,696,2,3111,0
G06003700007,STCTY-06037 TRACT-    0007     IN LOS ANGELES CA,2925,2886,39,2616,0,2578,26.05
G06003700008,STCTY-06037 TRACT-    0008     IN LOS ANGELES CA,1106,1105,1,938,1,3500,19.21
G06003700009,STCTY-06037 TRACT-    0009     IN LOS ANGELES CA,2502,2414,88,2126,7,3500,25.01
G06003700010,STCTY-06037 TRACT-    0010     IN LOS ANGELES CA,4586,4439,147,4039,2,3276,26.03
G06003700011,STCTY-06037 TRACT-    0011     IN LOS ANGELES CA,734,728,6,661,0,3851,0
G06003700012,STCTY-06037 TRACT-    0012     IN LOS ANGELES CA,607,600,7,549,1,1615,0
G06003700013,STCTY-06037 TRACT-    0013     IN LOS ANGELES CA,732,697,35,620,2,3433,0
G06003700014,STCTY-06037 TRACT-    0014     IN LOS ANGELES CA,1784,1764,20,1505,3,2536,19.67
G06003700015,STCTY-06037 TRACT-    0015     IN LOS ANGELES CA,1992,1972,20,1725,1,3362,22.81
G06003700016,STCTY-06037 TRACT-    0016     IN LOS ANGELES CA,4147,4134,13,3787,4,3064,0
G06003700017,STCTY-06037 TRACT-    0017     IN LOS ANGELES CA,10298,10202,96,9174,12,3922,29.28
G06003700018,STCTY-06037 TRACT-    0018     IN LOS ANGELES CA,10000,9923,77,9154,19,4276,31.34
G06003700019,STCTY-06037 TRACT-    0019     IN LOS ANGELES CA,2692,2606,86,2316,11,3303,28.38
G06003700020,STCTY-06037 TRACT-    0020     IN LOS ANGELES CA,2077,2058,19,1864,4,4485,34.81
G06003700021,STCTY-06037 TRACT-    0021     IN LOS ANGELES CA,7925,7837,88,7255,16,4627,35.03
G06003700022,STCTY-06037 TRACT-    0022     IN LOS ANGELES CA,3596,3576,20,3183,1,3200,26.13
G06003700023,STCTY-06037 TRACT-    0023     IN LOS ANGELES CA,5762,5732,30,5250,21,5434,36.66
G06003700024,STCTY-06037 TRACT-    0024     IN LOS ANGELES CA,5089,5012,77,4554,60,5812,45.82
G06003700025,STCTY-06037 TRACT-    0025     IN LOS ANGELES CA,11441,11342,99,10126,67,5787,37.66
G06003700026,STCTY-06037 TRACT-    0026     IN LOS ANGELES CA,889,856,33,779,6,3052,0
G06003700027,STCTY-06037 TRACT-    0027     IN LOS ANGELES CA,1744,1722,22,1517,9,3924,27.45
G06003700028,STCTY-06037 TRACT-    0028     IN LOS ANGELES CA,1548,1499,49,1311,34,8506,28.7
G06003700029,STCTY-06037 TRACT-    0029     IN LOS ANGELES CA,5967,5926,41,5334,26,5047,36.84
G06003700030,STCTY-06037 TRACT-    0030     IN LOS ANGELES CA,2847,2793,54,2348,33,8497,47.34
G06003700031,STCTY-06037 TRACT-    0031     IN LOS ANGELES CA,8502,8341,161,7375,35,4611,36.86
G06003700032,STCTY-06037 TRACT-    0032     IN LOS ANGELES CA,7377,7191,186,6289,40,6778,41.01
G06003700033,STCTY-06037 TRACT-    0033     IN LOS ANGELES CA,5280,5268,12,4816,12,5360,41.52
G06003700034,STCTY-06037 TRACT-    0034     IN LOS ANGELES CA,5861,5856,5,5253,1,3913,32.01
G06003700035,STCTY-06037 TRACT-    0035     IN LOS ANGELES CA,5576,5565,11,5027,1,3601,30.98
G06003700036,STCTY-06037 TRACT-    0036     IN LOS ANGELES CA,6001,6000,1,5325,1,3738,30.39
G06003700037,STCTY-06037 TRACT-    0037     IN LOS ANGELES CA,2778,2770,8,2385,0,3120,25.46
G06003700038,STCTY-06037 TRACT-    0038     IN LOS ANGELES CA,5502,5476,26,4748,0,3224,28.51
G06003700039,STCTY-06037 TRACT-    0039     IN LOS ANGELES CA,5613,5594,19,4874,1,2833,23.88
G06003700040,STCTY-06037 TRACT-    0040     IN LOS ANGELES CA,3420,3417,3,3048,0,2711,25.68
G06003700041,STCTY-06037 TRACT-    0041     IN LOS ANGELES CA,5724,5717,7,5132,0,3226,27.57
G06003700042,STCTY-06037 TRACT-    0042     IN LOS ANGELES CA,6127,6101,26,5430,0,3384,28.89
G06003700043,STCTY-06037 TRACT-    0043     IN LOS ANGELES CA,4151,4147,4,3670,3,3639,28.4
G06003700044,STCTY-06037 TRACT-    0044     IN LOS ANGELES CA,5323,5313,10,4742,10,3307,28
G06003700045,STCTY-06037 TRACT-    0045     IN LOS ANGELES CA,4277,4277,0,3892,0,3412,29.19
G06003700046,STCTY-06037 TRACT-    0046     IN LOS ANGELES CA,3204,3202,2,2883,0,3337,23.64
G06003700047,STCTY-06037 TRACT-    0047     IN LOS ANGELES CA,3716,3684,32,3308,0,2743,22.95
G06003700048,STCTY-06037 TRACT-    0048     IN LOS ANGELES CA,7737,7328,409,6126,304,11482,39.85
G06003700049,STCTY-06037 TRACT-    0049     IN LOS ANGELES CA,688,665,23,560,8,4857,37.34
G06003700050,STCTY-06037 TRACT-    0050     IN LOS ANGELES CA,1133,1086,47,941,31,9263,0
G06003700051,STCTY-06037 TRACT-    0051     IN LOS ANGELES CA,5703,5490,213,4674,163,8968,52.8
G06003700052,STCTY-06037 TRACT-    0052     IN LOS ANGELES CA,7769,7624,145,6359,84,7877,42.99
G06003700053,STCTY-06037 TRACT-    0053     IN LOS ANGELES CA,6281,6237,44,5287,10,6625,39.31
G06003700054,STCTY-06037 TRACT-    0054     IN LOS ANGELES CA,5791,5673,118,4849,3,4791,36.01
G06003700055,STCTY-06037 TRACT-    0055     IN LOS ANGELES CA,6622,6554,68,5473,26,7560,44.46
G06003700056,STCTY-06037 TRACT-    0056     IN LOS ANGELES CA,6583,6380,203,5370,11,5411,38.62
G06003700057,STCTY-06037 TRACT-    0057     IN LOS ANGELES CA,5933,5874,59,5010,39,6642,47.37
G06003700058,STCTY-06037 TRACT-    0058     IN LOS ANGELES CA,8956,8828,128,7562,77,7332,37.69
G06003700059,STCTY-06037 TRACT-    0059     IN LOS ANGELES CA,2691,2639,52,2230,17,3437,30.13
